mapX,mapY,sourceX,sourceY,enable
171500.9622294257,1131796.7401125135,1311.1829,-2958.0896,1
172042.1389319597,1131799.1214528556,2140.6748,-2949.7312,1
171562.8808528644,1131768.3296939977,1427.234,-2989.984,1
172117.72670034406,1131736.4178498902,2250.3472,-3029.75,1
172504.1766934915,1131726.943438634,2839.8113,-3012.9265,1
172004.77507580447,1131728.3277157517,2081.3203,-3062.3228,1
171562.2444778543,1131689.429077371,1412.7141,-3118.1353,1
172457.2280417708,1131656.7147010886,2782.2,-3144.0437,1
171631.39810960443,1131644.5750921026,1519.322,-3212.1582,1
171927.05380287726,1131627.9108581895,1956.4797,-3192.6145,1
172331.69431977495,1131628.547998211,2580.6826,-3173.0708,1
171680.46300197454,1131652.0072444207,1609.2625,-3215.2915,1
172127.88172890537,1131581.9268359519,2275.73,-3234.723,1
172067.05683245257,1131578.6132237255,2189.4282,-3257.7603,1
171758.06869670688,1131568.500166813,1735.6078,-3290.3333,1
171813.41189450916,1131561.6741949308,1813.7626,-3283.8188,1
171952.65083349583,1131566.2168903337,2016.8252,-3286.5396,1
171656.95095983444,1131549.8609814392,1544.748,-3331.9302,1
171711.72482020274,1131568.884114481,1654.5735,-3327.554,1
172299.52510332855,1131537.6915644899,2523.6748,-3312.4478,1
172373.05802551904,1131538.3255448183,2652.706,-3303.3623,1
172755.63935659148,1131530.0761407414,3267.7092,-3322.698,1
171986.4223860762,1131498.5350991166,2087.897,-3388.052,1
171954.52355054297,1131485.0388334463,2037.1313,-3407.5955,1
172593.6935482611,1131489.3669942683,2983.275,-3390.1729,1
171711.57406949723,1131430.4992132082,1658.7827,-3505.3145,1
172316.63479231924,1131440.970158874,2557.1875,-3461.421,1
171666.0160380254,1131427.951122508,1567.5531,-3511.829,1
171751.0334860959,1131422.6394063963,1727.461,-3505.3142,1
171742.8374217685,1131374.423127168,1726.6196,-3601.9866,1
171825.5772511805,1131339.0568525551,1849.2986,-3616.0625,1
172321.25875876978,1131364.854535187,2580.6826,-3590.0042,1
171875.993543403,1131332.6305371018,1929.1481,-3623.6274,1
172268.98953291858,1131355.1221550673,2509.3125,-3603.9165,1
171612.88013032058,1131319.7491012423,1479.22,-3681.1704,1
171970.37771302625,1131306.034767,2067.5908,-3661.6643,1
171975.1442557595,1131257.2059821973,2071.7173,-3759.3833,1
172258.04408844773,1131269.7177341857,2466.2747,-3760.6836,1
171971.33384610084,1131215.4423808355,2062.5142,-3824.529,1
171811.6944065289,1131200.803087384,1828.9923,-3857.102,1
172094.07224126588,1131185.5173754606,2240.1938,-3863.6167,1
171474.20698035124,1131168.6873193085,1288.1176,-3946.281,1
171819.58193425243,1131137.9772521069,1828.9923,-3948.3062,1
171668.2007882568,1131140.5746964756,1585.3173,-3961.3354,1
171610.77281684606,1131100.6998776945,1490.7281,-3993.9082,1
172128.87732324487,1131111.6653712941,2275.73,-3961.3354,1
171454.37033704526,1131076.4122213451,1235.0344,-4072.0833,1
171485.36615271863,1131070.7327651107,1324.9287,-4103.273,1
171934.8498705399,1131044.0898117754,2011.7485,-4072.0833,1
171604.16204482017,1131019.2735145756,1503.8396,-4145.6626,1
171857.51315041262,1130992.393983974,1926.8068,-4178.327,1
171554.900813531,1130957.011309697,1453.3267,-4228.433,1
172267.49603581105,1130935.3809679823,2464.9126,-4186.596,1
171481.22050486747,1130954.6872489848,1346.6813,-4241.4624,1
171432.09566845905,1130959.9237676112,1270.5703,-4254.4917,1
171821.44068643736,1130943.7495844928,1889.911,-4247.977,1
171919.3329194533,1130919.7519865788,1976.2128,-4247.977,1
172347.40044392657,1130925.8889252509,2637.3281,-4219.341,1
171437.0239744785,1130892.599693476,1285.8,-4358.7246,1
172007.63259005852,1130900.4605308876,2052.511,-4326.1523,1
172301.2907119769,1130871.853792856,2500.1477,-4304.0366,1
172367.7273507354,1130801.9395805523,2626.0127,-4443.4146,1
171722.80982311114,1130755.6907481083,1697.0016,-4554.162,1
171680.6271158151,1130683.3923868826,1677.257,-4663.648,1
172260.90635944408,1130665.9363787614,2606.641,-4676.1333,1
171611.1467159252,1130317.3697702906,1559.9344,-5257.7373,1
171803.95906296046,1132895.5545383117,1656.3892,-1259.2124,1
171824.57104510645,1132864.2402184287,1691.925,-1317.5062,1
171786.76050666661,1132842.9165621877,1631.0063,-1330.4604,1
171756.48632278657,1132531.5072271896,1600.5469,-1783.8562,1
171757.70305487493,1132476.664899191,1651.3125,-1913.398,1
172524.79003684354,1132468.5546771449,2815.7124,-1926.352,1
172044.38738105042,1132495.6590093349,2155.0376,-1952.2604,1
171827.23992356638,1132463.6009838998,1813.7626,-2004.077,1
172110.77066359218,1132339.1290856448,2230.0408,-2107.7104,1
172356.0583888568,1132310.3535806474,2585.4001,-2140.0957,1
172334.95764394695,1132282.8846587574,2544.7876,-2178.9583,1
172461.98768320744,1132276.0896886808,2729.5376,-2178.9583,1
172224.0058735717,1132256.178367593,2367.108,-2237.252,1
172403.93879138018,1132219.393001461,2657.725,-2243.729,1
172114.06010088196,1132225.2907992362,2212.4873,-2269.6375,1
172270.87109618617,1132217.0626583868,2422.9502,-2282.5918,1
172430.4766208035,1132195.4606784666,2686.9314,-2282.5918,1
172486.81441930236,1132157.489611663,2782.2,-2327.9312,1
172421.92729668153,1132147.9978383672,2686.45,-2340.8853,1
172379.45770617347,1132106.3701527398,2619.4248,-2418.6104,1
172407.39960383886,1132104.7444564637,2667.2998,-2418.6104,1
172446.8300409995,1132098.5301768882,2724.75,-2425.0874,1
172494.9677441445,1132073.712496088,2796.753,-2469.4958,1
172140.04321636044,1132075.878784101,2215.7642,-2482.525,1
172177.0420112071,1132074.2761047252,2290.9595,-2483.3813,1
172466.95892618105,1132071.8807113396,2753.539,-2482.525,1
172515.00993920618,1132042.5158855105,2818.922,-2522.2437,1
171970.2848203366,1132069.2160642275,1960.9829,-2535.1978,1
172390.33800595725,1132034.302701363,2636.1658,-2561.1062,1
172359.3454072834,1132022.3644223325,2595.5532,-2574.0605,1
172470.97526903712,1132014.2984410021,2767.9438,-2586.7583,1
172091.1555937195,1131990.7381592055,2177.3516,-2606.302,1
172202.05641016693,1131985.4393771472,2355.0093,-2612.8167,1
172143.8416118201,1131975.77616844,2273.3828,-2619.3313,1
172758.73682498652,1131916.232746465,3200.0842,-2710.5354,1
171950.58704788893,1131949.4063804715,1940.6766,-2723.5645,1
172706.1009653061,1131933.7736885855,3108.8545,-2717.05,1
171779.13456217814,1131919.4100763514,1721.2031,-2736.5938,1
171709.32487277177,1131942.412713214,1605.9656,-2736.5938,1
172210.03863835928,1131909.0897683273,2377.2612,-2748.9417,1
172496.68540358866,1131907.0647166462,2806.3562,-2756.1375,1
171915.02553239322,1131925.1007352355,1908.4641,-2775.6812,1
171948.70403145644,1131912.5711802219,1951.6782,-2788.7104,1
172736.97349744546,1131881.875604653,3199.6643,-2787.8042,1
171799.5543918276,1131904.4194965244,1737.6141,-2800.7583,1
172314.59732311484,1131876.2185930833,2554.941,-2800.7583,1
172268.12613223668,1131864.266815559,2483.869,-2813.7124,1
171744.84232578098,1131892.793422693,1656.3892,-2827.7979,1
171573.32175498485,1131877.1010626524,1402.561,-2846.098,1
172243.3715698069,1131826.536371925,2438.1797,-2852.575,1
172728.0865596009,1131849.6712091418,3156.87,-2860.3708,1
171482.13978389718,1131842.660126709,1285.8,-2886.4292,1
172150.597720567,1131823.8232694743,2282.9858,-2899.4583,1
171643.92383831833,1131830.7710309562,1519.322,-2917.3457,1
171710.17793770827,1131835.132362561,1605.9656,-2919.002,1
172103.54084285148,1131830.5902474097,2230.0408,-2919.002,1
171804.08939311552,1131814.7987479432,1762.4624,-2949.7312,1
172454.8360789551,1131781.3070900324,2752.9268,-2958.0896,1
172097.50998747046,1131779.6809898051,2207.7,-2969.1624,1
172258.00081244446,1131749.7284582388,2458.486,-2964.604,1
171619.59453944728,1131771.9791442766,1519.322,-3014.502,1
172268.0353904059,1131704.5239957345,2470.2468,-3055.8083,1
172374.33342016384,1131708.5239757835,2657.5078,-3062.3228,1
172224.0466517534,1131690.6894183483,2407.7205,-3075.352,1
172452.72696204702,1131708.6321258997,2772.625,-3079.273,1
172173.24627095956,1131692.3947082327,2335.8032,-3088.3813,1
171587.6587997948,1131711.669367826,1461.9187,-3101.4104,1
171663.39252311565,1131718.4058051642,1567.5531,-3107.925,1
172273.95332938625,1131669.209496796,2483.869,-3105.1812,1
172523.19906008197,1131696.6355785397,2844.305,-3105.1812,1
172133.21079409597,1131675.5859808868,2260.5,-3111.6582,1
171803.26064189433,1131684.7731138095,1793.4563,-3120.954,1
171999.9148494473,1131688.659927098,2082.8203,-3114.4395,1
